id;nombre;valor;descuento;estado;fecha
1;Credit Card Account;navigate;23763;false;2020-09-13T08:48:39
2;web-enabled invoice withdrawal;bypassing optical;15071;false;2020-09-13T14:05:29
3;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;true;2020-09-13T20:51:07
4;deposit Sausages;disintermediate Cambridgeshire hacking;67569;false;2020-09-13T08:38:35
5;azure;SMS Enhanced;65998;false;2020-09-13T06:40:29
6;Macao Equatorial Guinea Vision-oriented;Agent;55829;true;2020-09-13T05:06:18
7;pink even-keeled;bus Internal AI;77987;true;2020-09-13T10:52:46
8;Unbranded Cheese Dynamic;Alabama transform;94013;true;2020-09-13T02:55:13
9;clear-thinking;Latvia;69189;false;2020-09-13T10:38:28
10;Devolved driver Networked;Fish;36646;true;2020-09-13T08:25:41
