id;nombre;dias_semana;fecha_salida;fecha_arribo_9;plazas_vacias;orden;estado_vuelo;es_escala
1;Bedfordshire;Maryland Configuration;2020-09-13T09:35:00;2020-09-13T03:58:04;57006;7041;9717;false
2;Zambian Kwacha intuitive;Bedfordshire;2020-09-13T05:13:52;2020-09-13T18:32:48;74076;84866;69701;false
3;array France protocol;open-source HDD;2020-09-13T04:22:13;2020-09-14T00:19:47;51134;518;50151;true
4;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;2020-09-14T00:01:57;2020-09-13T15:45:53;57828;67202;3594;false
5;Towels Specialist;Utah Computers Small Fresh Gloves;2020-09-13T17:38:36;2020-09-13T13:23:53;12706;32665;52224;true
6;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;2020-09-13T08:51:43;2020-09-13T23:06:07;97585;96953;51630;true
7;Licensed Cotton Ball;mindshare Gorgeous;2020-09-14T01:40:46;2020-09-13T21:51:50;96264;8087;83598;false
8;Som Rustic Frozen Keyboard ROI;Benin;2020-09-13T09:08:16;2020-09-13T21:53:57;66019;93461;27993;true
9;Buckinghamshire payment e-markets;paradigms Organic strategic;2020-09-13T08:05:59;2020-09-13T23:24:14;1439;34187;11607;false
10;Small;JBOD;2020-09-13T09:24:01;2020-09-13T22:04:48;47417;1716;9783;true
